start_real,start_imag,lyapunov_exponent
-8,74,-0.677551
-86,-78,-0.667154
1,47,-0.672353
62,-12,-0.667154
30,11,-0.661956
93,31,-0.661956
-17,94,-0.651558
-79,97,-0.677551
-70,-43,-0.661956
65,47,-0.667154
95,50,-0.661956
28,-31,-0.672353
-100,-76,-0.651558
-41,-92,-0.667154
2,56,-0.672353
93,-2,-0.667154
75,98,-0.672353
72,-7,-0.661956
-35,96,-0.651558
-52,-18,-0.651558
-86,59,-0.656757
30,-83,-0.609970
-56,11,-0.682750
8,61,-0.672353
-47,85,-0.635963
-11,65,-0.677551
-53,-93,-0.667154
-89,-26,-0.641161
91,-91,-0.677551
-26,-79,-0.646360
87,35,-0.667154
53,43,-0.646360
32,55,-0.687949
-99,73,-0.615168
48,48,-0.687949
-21,60,-0.651558
-24,-91,-0.667154
82,-53,-0.661956
-80,25,-0.677551
-54,72,-0.651558
-11,-100,-0.651558
91,3,-0.682750
-48,36,-0.682750
6,-95,-0.656757
52,-20,-0.661956
40,80,-0.672353
22,34,-0.677551
-49,-53,-0.667154
-17,71,-0.677551
5,-31,-0.672353
56,71,-0.687949
81,-40,-0.625565
42,18,-0.667154
-10,-21,-0.667154
-77,-45,-0.667154
10,78,-0.630764
74,-63,-0.661956
36,-83,-0.661956
35,-32,-0.677551
-10,44,-0.672353
-15,62,-0.651558
7,100,-0.672353
28,-41,-0.656757
55,-19,-0.661956
7,-73,-0.672353
-77,15,-0.641161
-63,100,-0.635963
71,40,-0.667154
47,19,-0.667154
-88,-22,-0.620367
-1,83,-0.672353
-56,-1,-0.661956
-31,-73,-0.656757
-80,-27,-0.661956
-84,-87,-0.687949
-30,-60,-0.667154
11,-97,-0.672353
-40,-9,-0.661956
93,27,-0.661956
77,-31,-0.573579
-10,-16,-0.667154
78,92,-0.646360
93,51,-0.641161
1,8,-0.672353
97,-43,-0.661956
-31,80,-0.651558
-23,-53,-0.609970
12,-35,-0.672353
79,82,-0.646360
-39,6,-0.641161
97,49,-0.672353
-57,18,-0.615168
24,31,-0.687949
-95,-40,-0.661956
71,-52,-0.667154
-40,-36,-0.687949
-65,-69,-0.667154
-31,75,-0.635963
-100,-44,-0.646360
-88,12,-0.682750
-50,59,-0.635963
17,57,-0.672353
27,-12,-0.667154
73,-5,-0.661956
90,99,-0.667154
18,35,-0.677551
-49,63,-0.677551
34,81,-0.646360
-47,58,-0.635963
-6,-63,-0.667154
-66,12,-0.656757
-36,-80,-0.667154
-15,31,-0.656757
-36,92,-0.682750
56,3,-0.682750
87,-13,-0.661956
-72,-93,-0.667154
88,92,-0.687949
48,-80,-0.672353
-41,-92,-0.667154
-90,-51,-0.651558
15,-87,-0.651558
97,-9,-0.661956
-47,3,-0.646360
58,-38,-0.677551
-91,-90,-0.687949
71,-78,-0.661956
27,-23,-0.656757
56,-88,-0.656757
80,40,-0.672353
-10,-59,-0.667154
96,-40,-0.677551
-2,-21,-0.672353
-54,-17,-0.620367
-70,-100,-0.667154
-42,-78,-0.646360
-17,73,-0.651558
-68,-100,-0.667154
-78,2,-0.682750
-45,-2,-0.661956
-95,-34,-0.661956
-18,-14,-0.667154
10,56,-0.630764
-7,69,-0.672353
6,-48,-0.672353
-54,-36,-0.667154
20,-52,-0.661956
83,-4,-0.661956
73,37,-0.641161
-33,-55,-0.646360
49,-34,-0.635963
-51,87,-0.651558
-3,-91,-0.656757
-1,-8,-0.672353
73,43,-0.641161
-62,-70,-0.667154
21,-91,-0.672353
-36,-73,-0.646360
-96,84,-0.682750
-82,-99,-0.667154
87,-63,-0.656757
64,-94,-0.677551
-70,-78,-0.667154
41,24,-0.641161
-5,-52,-0.667154
-83,14,-0.682750
-54,18,-0.656757
38,70,-0.677551
-1,-100,-0.672353
-44,71,-0.651558
7,24,-0.672353
-8,-68,-0.672353
80,55,-0.641161
100,71,-0.667154
-42,-49,-0.667154
-51,84,-0.656757
11,-9,-0.677551
94,21,-0.661956
82,97,-0.646360
-85,-28,-0.661956
47,63,-0.646360
-71,-37,-0.661956
10,60,-0.672353
-78,20,-0.656757
-41,-57,-0.661956
3,-17,-0.672353
27,-37,-0.672353
65,-85,-0.661956
73,-95,-0.630764
47,-31,-0.661956
-23,-97,-0.667154
41,-67,-0.630764
32,45,-0.687949
69,42,-0.667154
-40,48,-0.677551
66,-37,-0.661956
-76,78,-0.677551
-71,19,-0.646360
-53,-75,-0.646360
56,-72,-0.672353
34,39,-0.667154
-88,-66,-0.646360
59,1,-0.682750
-76,99,-0.641161
-47,-100,-0.651558
85,-97,-0.661956
11,99,-0.672353
16,17,-0.687949
-22,-75,-0.646360
15,80,-0.677551
-82,76,-0.641161
-17,7,-0.656757
-67,24,-0.646360
-64,-46,-0.687949
45,-90,-0.656757
-11,19,-0.651558
-74,-41,-0.651558
-31,33,-0.682750
96,68,-0.630764
-62,-97,-0.651558
-90,19,-0.656757
-69,-54,-0.646360
70,75,-0.667154
68,-50,-0.677551
24,22,-0.672353
-63,11,-0.646360
5,-21,-0.661956
51,36,-0.667154
7,45,-0.604771
53,13,-0.641161
-47,52,-0.656757
44,97,-0.646360
-70,-16,-0.661956
85,3,-0.661956
89,-98,-0.635963
-93,60,-0.641161
-28,4,-0.682750
-14,-18,-0.661956
88,-82,-0.677551
55,78,-0.646360
32,-21,-0.672353
-68,37,-0.635963
-6,-70,-0.672353
-28,93,-0.672353
-47,-65,-0.661956
37,-60,-0.656757
84,72,-0.672353
97,83,-0.667154
-52,-58,-0.667154
-32,-6,-0.687949
76,47,-0.672353
29,76,-0.625565
29,-24,-0.656757
-17,3,-0.656757
-83,49,-0.656757
31,46,-0.630764
7,57,-0.672353
90,14,-0.661956
-11,-79,-0.667154
56,81,-0.672353
40,73,-0.672353
73,60,-0.646360
1,-80,-0.672353
-100,-59,-0.578778
-14,49,-0.651558
-9,-96,-0.667154
-58,96,-0.656757
98,-25,-0.661956
61,44,-0.641161
87,78,-0.646360
26,-21,-0.677551
25,-36,-0.661956
-31,22,-0.656757
14,16,-0.687949
-23,-18,-0.651558
-98,20,-0.656757
15,88,-0.672353
1,-7,-0.667154
-87,-61,-0.625565
-33,-25,-0.661956
-28,-21,-0.651558
54,-74,-0.672353
-34,-68,-0.646360
-39,37,-0.656757
-91,-32,-0.661956
-96,91,-0.682750
46,-52,-0.656757
-61,-81,-0.667154
-5,51,-0.672353
17,77,-0.630764
-31,-45,-0.625565
-4,-60,-0.667154
96,-63,-0.677551
-4,4,-0.682750
-89,-6,-0.661956
-9,-48,-0.667154
-75,-91,-0.667154
-99,-4,-0.661956
-82,92,-0.677551
-51,31,-0.615168
35,-1,-0.667154
77,-78,-0.656757
-53,-50,-0.667154
-73,-41,-0.667154
-38,53,-0.609970
-40,76,-0.651558
55,81,-0.672353
-79,97,-0.677551
23,97,-0.672353
-29,91,-0.672353
18,-86,-0.620367
-18,-73,-0.651558
89,-39,-0.677551
-56,11,-0.682750
-15,-81,-0.667154
64,70,-0.687949
49,23,-0.641161
-20,9,-0.656757
4,-67,-0.656757
-84,-50,-0.646360
-9,-68,-0.651558
-79,71,-0.656757
-25,17,-0.656757
5,47,-0.635963
48,-41,-0.672353
70,-26,-0.635963
67,-19,-0.667154
-78,52,-0.682750
-94,55,-0.656757
-92,-59,-0.604771
21,89,-0.604771
-18,-76,-0.651558
-54,80,-0.651558
46,-80,-0.672353
-23,-47,-0.667154
-65,70,-0.677551
24,-64,-0.672353
30,-17,-0.677551
-88,-10,-0.661956
-63,-51,-0.661956
76,42,-0.667154
-74,71,-0.677551
15,75,-0.630764
50,-32,-0.635963
7,6,-0.667154
44,-51,-0.672353
-34,-51,-0.667154
-41,-68,-0.646360
-93,88,-0.656757
-86,78,-0.656757
-100,56,-0.656757
-34,4,-0.656757
-44,-2,-0.661956
-10,6,-0.682750
-21,7,-0.646360
65,-13,-0.667154
-28,-74,-0.667154
-28,-75,-0.667154
-64,91,-0.682750
-83,-4,-0.661956
67,91,-0.646360
-71,-68,-0.667154
-26,11,-0.656757
92,-59,-0.677551
-67,-50,-0.661956
75,-94,-0.656757
-24,-77,-0.651558
-69,84,-0.677551
-100,-36,-0.661956
84,22,-0.661956
-86,-7,-0.661956
95,-20,-0.661956
6,6,-0.687949
32,-63,-0.672353
68,98,-0.646360
-72,64,-0.682750
64,49,-0.682750
-26,-6,-0.661956
68,-70,-0.661956
66,85,-0.672353
37,-32,-0.661956
12,-90,-0.656757
87,-32,-0.594374
-89,59,-0.641161
32,25,-0.682750
-90,50,-0.635963
28,59,-0.667154
66,-58,-0.667154
-58,85,-0.635963
6,-12,-0.672353
-43,28,-0.641161
51,-100,-0.630764
11,99,-0.672353
-44,-44,-0.687949
